27-02-26 15:53:07: {'temps': [0.005, 0.498], 'freqs': [-1.0, 0.0], 'analog': {'values': [1.143, 1.133, 0.005, 0.498], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
27-02-26 16:06:58: {'temps': [0.005, 0.503], 'freqs': [-1.0, 0.0], 'analog': {'values': [1.133, 1.128, 0.005, 0.503], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
27-02-26 16:08:34: {'temps': [0.0, 0.547], 'freqs': [-1.0, 0.0], 'analog': {'values': [1.24, 1.226, 0.0, 0.547], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
27-02-26 16:35:06: {'temps': [0.0, 0.552], 'freqs': [-1.0, 0.0], 'analog': {'values': [1.235, 1.226, 0.0, 0.552], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
27-02-26 18:00:00: {'valid': True, 'slave_id': 104, 'func_code': 50, 'reg_addr': 30050, 'value_or_quantity': 11894}
27-02-26 18:05:37: {'temps': [1.777, 4.99], 'freqs': [-1.0, -1.0], 'analog': {'values': [1.636, 1.807, 1.777, 4.99], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
27-02-26 18:20:39: {'temps': [2.441, 4.995], 'freqs': [-1.0, -1.0], 'analog': {'values': [3.745, 3.096, 2.441, 4.995], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
27-02-26 18:35:40: {'temps': [2.451, 4.995], 'freqs': [-1.0, -1.0], 'analog': {'values': [3.765, 3.096, 2.451, 4.995], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
03-03-26 10:28:59: {'temps': [1.992, 4.995], 'freqs': [-1.0, -1.0], 'analog': {'values': [1.909, 1.987, 1.992, 4.995], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 12:19:56: {'temps': [3.13, 4.438], 'freqs': [-1.0, -1.0], 'analog': {'values': [1.768, 1.895, 3.13, 4.438], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 12:24:58: {'temps': [3.14, 4.502], 'freqs': [-1.0, -1.0], 'analog': {'values': [1.812, 1.934, 3.14, 4.502], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 12:33:11: {'temps': [3.721, 4.673], 'freqs': [-1.0, -1.0], 'analog': {'values': [3.569, 2.954, 3.721, 4.673], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 12:33:52: {'temps': [3.691, 4.663], 'freqs': [-1.0, -1.0], 'analog': {'values': [3.511, 2.905, 3.691, 4.663], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 12:36:45: {'temps': [3.633, 4.629], 'freqs': [-1.0, -1.0], 'analog': {'values': [3.501, 2.896, 3.633, 4.629], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 12:50:32: {'temps': [3.071, 4.395], 'freqs': [-1.0, -1.0], 'analog': {'values': [1.831, 1.963, 3.071, 4.395], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 13:22:35: {'temps': [0.36956948969535636, -0.8556555425239089], 'freqs': [0.0, -1.0], 'analog': {'values': [1.807, 1.919, 3.057, 4.429], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 13:25:22: {'temps': [0.04193306361249355, -6.326871487174204], 'freqs': [0.0, -1.0], 'analog': {'values': [3.55, 2.969, 3.657, 4.59], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 13:27:50: {'temps': [-155.15418219224335, -209.80156642814455], 'freqs': [0.0, -1.0], 'analog': {'values': [3.545, 2.964, 3.643, 4.59], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 14:11:32: {'temps': [0.3472425406065358, 0.04098910433542636], 'freqs': [-1.0, 0.0], 'analog': {'values': [1.235, 1.226, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 14:24:56: {'temps': [-1.80008883278941, 0.044720407932066324], 'freqs': [-1.0, 0.0], 'analog': {'values': [1.24, 1.23, 0.0, 0.557], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 14:27:53: {'temps': [0.3472425406065358, 0.041159317524899264], 'freqs': [-1.0, 0.0], 'analog': {'values': [1.235, 1.226, 0.0, 0.557], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 14:40:26: {'temps': [0.38239923855747177, 0.04085409557787171], 'freqs': [-1.0, 0.0], 'analog': {'values': [1.24, 1.226, 0.0, 0.566], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 14:45:03: {'temps': [0.38239923855747177, 0.044720407932066324], 'freqs': [-1.0, 0.0], 'analog': {'values': [1.24, 1.23, 0.0, 0.557], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
04-03-26 15:19:08: {'temps': [0.38239923855747177, 0.04453546795428264], 'freqs': [-1.0, 0.0], 'analog': {'values': [1.24, 1.23, 0.0, 0.562], 'count': 4, 'raw_byte_count': 16}, 'success': True, 'errors': None, 'packet_size': 40, 'addr': ('192.168.5.140', 5276)}
